289,삼청동주민센터,서울특별시 종로구 삼청로 107 (삼청동),서울특별시 종로구 삼청로 107 
290,숭인1동주민센터,서울특별시 종로구 지봉로 86 (숭인동),서울특별시 종로구 지봉로 86 
291,숭인2동주민센터,서울특별시 종로구 종로65길 10 (숭인동),서울특별시 종로구 종로65길 10 
292,이화동주민센터,서울특별시 종로구 이화장길 33 (이화동),서울특별시 종로구 이화장길 33 
293,종로1.2.3.4가동주민센터,서울특별시 종로구 종로17길 8 (종로2가),서울특별시 종로구 종로17길 8 
294,종로5.6가동주민센터,서울특별시 종로구 종로35가길 19 (효제동),서울특별시 종로구 종로35가길 19 
295,창신1동주민센터,서울특별시 종로구 지봉로 8-6 (창신동),서울특별시 종로구 지봉로 8-6 
296,창신2동주민센터,서울특별시 종로구 창신길 62 (창신동),서울특별시 종로구 창신길 62 
297,창신3동주민센터,서울특별시 종로구 지봉로 87 (창신동),서울특별시 종로구 지봉로 87 
298,청운효자동주민센터,서울특별시 종로구 자하문로 92 (궁정동),서울특별시 종로구 자하문로 92 
299,평창동주민센터,서울특별시 종로구 평창문화로 65 (평창동),서울특별시 종로구 평창문화로 65 
300,혜화동주민센터,서울특별시 종로구 혜화로 12 (혜화동),서울특별시 종로구 혜화로 12 
301,광희동주민센터,서울특별시 중구 퇴계로 303-9 (광희동1가),서울특별시 중구 퇴계로 303-9 
302,다산동주민센터,서울특별시 중구 동호로15길 50 (신당2동),서울특별시 중구 동호로15길 50 
303,동화동주민센터,서울특별시 중구 다산로36길 100 (신당6동),서울특별시 중구 다산로36길 100 
304,명동주민센터,서울특별시 중구 퇴계로20길 3 (남산동 2가),서울특별시 중구 퇴계로20길 3 
305,소공동주민센터,서울특별시 중구 남대문로1길 31-5 (북창동),서울특별시 중구 남대문로1길 31-5 
306,신당5동주민센터,서울특별시 중구 다산로44길 85 (신당5동),서울특별시 중구 다산로44길 85 
307,신당동주민센터,서울특별시 중구 다산로 211 (신당동),서울특별시 중구 다산로 211 
308,약수동주민센터,서울특별시 중구 다산로 92 (신당3동),서울특별시 중구 다산로 92 
309,을지로동주민센터,서울특별시 중구 충무로9길 19 (을지로3가),서울특별시 중구 충무로9길 19 
310,장충동주민센터,서울특별시 중구 장충단로8길 22 (장충동1가),서울특별시 중구 장충단로8길 22 
311,중림동주민센터,서울특별시 중구 서소문로6길 16 (중림동),서울특별시 중구 서소문로6길 16 
312,청구동주민센터,서울특별시 중구 청구로3길 55 (신당4동),서울특별시 중구 청구로3길 55 
313,필동주민센터,서울특별시 중구 퇴계로36길 42 (필동2가),서울특별시 중구 퇴계로36길 42 
314,황학동주민센터,서울특별시 중구 황학동 난계로11길 52 (황학동),서울특별시 중구 황학동 난계로11길 52 
315,회현동주민센터,서울특별시 중구 퇴계로8길 46 (회현동1가),서울특별시 중구 퇴계로8길 46 
322,전농2동주민센터,서울특별시 동대문구 사가정로 137 (전농동),서울특별시 동대문구 사가정로 137 
323,제기동주민센터,서울특별시 동대문구 약령시로 71 (제기동),서울특별시 동대문구 약령시로 71 
324,청량리동주민센터,서울특별시 동대문구 왕산로43다길 5 (청량리동),서울특별시 동대문구 왕산로43다길 5 
325,회기동주민센터,서울특별시 동대문구 회기로25길 12-1 (회기동),서울특별시 동대문구 회기로25길 12-1 
326,휘경1동주민센터,서울특별시 동대문구 외대역동로6길 3 (휘경동),서울특별시 동대문구 외대역동로6길 3 
327,휘경2동주민센터,서울특별시 동대문구 한천로 329 (휘경동),서울특별시 동대문구 한천로 329 
328,노량진1동주민센터,서울특별시 동작구 장승배기로28길 30,서울특별시 동작구 장승배기로28길 30
329,노량진2동주민센터,서울특별시 동작구 장승배기로19길 48,서울특별시 동작구 장승배기로19길 48
330,대방동주민센터,서울특별시 동작구 여의대방로44길 20,서울특별시 동작구 여의대방로44길 20
331,사당1동주민센터,서울특별시 동작구 동작대로17길 28,서울특별시 동작구 동작대로17길 28
332,사당2동주민센터,서울특별시 동작구 동작대로29길 52,서울특별시 동작구 동작대로29길 52
333,사당3동주민센터,서울특별시 동작구 사당로17길 86,서울특별시 동작구 사당로17길 86
334,사당4동주민센터,서울특별시 동작구 사당로16아길 6,서울특별시 동작구 사당로16아길 6
335,사당5동주민센터,서울특별시 동작구 사당로2가길 219,서울특별시 동작구 사당로2가길 219
336,상도1동주민센터,서울특별시 동작구 상도로53길 9,서울특별시 동작구 상도로53길 9
337,상도2동주민센터,서울특별시 동작구 상도로 211,서울특별시 동작구 상도로 211
338,상도3동주민센터,서울특별시 동작구 성대로2길 11,서울특별시 동작구 성대로2길 11
339,상도4동주민센터,서울특별시 동작구 성대로29길 53,서울특별시 동작구 성대로29길 53
340,신대방1동주민센터,서울특별시 동작구 신대방길72,서울특별시 동작구 신대방길72
341,신대방2동주민센터,서울특별시 동작구 여의대방로24길 106,서울특별시 동작구 여의대방로24길 106
342,흑석동주민센터,서울특별시 동작구 흑석한강로 11,서울특별시 동작구 흑석한강로 11
